,Referee,B365H lag 7 matches,B365H lag 6 matches,B365H lag 5 matches,B365H lag 4 matches,B365H lag 3 matches,B365H lag 2 matches,B365H lag 1 match,B365H most recent match,B365D lag 7 matches,B365D lag 6 matches,B365D lag 5 matches,B365D lag 4 matches,B365D lag 3 matches,B365D lag 2 matches,B365D lag 1 match,B365D most recent match,B365A lag 7 matches,B365A lag 6 matches,B365A lag 5 matches,B365A lag 4 matches,B365A lag 3 matches,B365A lag 2 matches,B365A lag 1 match,B365A most recent match,HICT lag 7 matches,HICT lag 6 matches,HICT lag 5 matches,HICT lag 4 matches,HICT lag 3 matches,HICT lag 2 matches,HICT lag 1 match,HICT most recent match,AICT lag 7 matches,AICT lag 6 matches,AICT lag 5 matches,AICT lag 4 matches,AICT lag 3 matches,AICT lag 2 matches,AICT lag 1 match,AICT most recent match,DifICT lag 7 matches,DifICT lag 6 matches,DifICT lag 5 matches,DifICT lag 4 matches,DifICT lag 3 matches,DifICT lag 2 matches,DifICT lag 1 match,DifICT most recent match
232,C Kavanagh,10.0,1.72,1.66,1.1,5.5,1.44,1.28,1.7,5.25,3.75,3.5,9.0,3.8,4.2,6.0,4.0,1.28,4.75,6.0,23.0,1.65,8.0,10.0,4.75,8036.299999999999,9113.9,8173.199999999998,9285.4,8270.3,8598.4,9413.400000000003,8596.599999999999,9292.399999999998,8214.800000000001,8028.9,7826.000000000002,9008.300000000001,7808.6,8749.699999999997,7995.900000000001,-1256.0999999999985,899.0999999999985,144.29999999999836,1459.3999999999978,-738.0000000000018,789.7999999999993,663.7000000000062,600.699999999998
233,R Jones,1.72,1.66,1.1,5.5,1.44,1.28,1.7,1.65,3.75,3.5,9.0,3.8,4.2,6.0,4.0,3.6,4.75,6.0,23.0,1.65,8.0,10.0,4.75,5.75,9113.9,8173.199999999998,9285.4,8270.3,8598.4,9413.400000000003,8596.599999999999,8354.9,8214.800000000001,8028.9,7826.000000000002,9008.300000000001,7808.6,8749.699999999997,7995.900000000001,8023.299999999999,899.0999999999985,144.29999999999836,1459.3999999999978,-738.0000000000018,789.7999999999993,663.7000000000062,600.699999999998,331.60000000000036
234,A Madley,1.66,1.1,5.5,1.44,1.28,1.7,1.65,2.1,3.5,9.0,3.8,4.2,6.0,4.0,3.6,3.5,6.0,23.0,1.65,8.0,10.0,4.75,5.75,3.5,8173.199999999998,9285.4,8270.3,8598.4,9413.400000000003,8596.599999999999,8354.9,8137.4,8028.9,7826.000000000002,9008.300000000001,7808.6,8749.699999999997,7995.900000000001,8023.299999999999,8433.599999999999,144.29999999999836,1459.3999999999978,-738.0000000000018,789.7999999999993,663.7000000000062,600.699999999998,331.60000000000036,-296.1999999999989
235,P Tierney,1.1,5.5,1.44,1.28,1.7,1.65,2.1,3.9,9.0,3.8,4.2,6.0,4.0,3.6,3.5,3.8,23.0,1.65,8.0,10.0,4.75,5.75,3.5,1.85,9285.4,8270.3,8598.4,9413.400000000003,8596.599999999999,8354.9,8137.4,8213.0,7826.000000000002,9008.300000000001,7808.6,8749.699999999997,7995.900000000001,8023.299999999999,8433.599999999999,9100.3,1459.3999999999978,-738.0000000000018,789.7999999999993,663.7000000000062,600.699999999998,331.60000000000036,-296.1999999999989,-887.2999999999993
236,C Pawson,5.5,1.44,1.28,1.7,1.65,2.1,3.9,2.25,3.8,4.2,6.0,4.0,3.6,3.5,3.8,3.3,1.65,8.0,10.0,4.75,5.75,3.5,1.85,3.25,8270.3,8598.4,9413.400000000003,8596.599999999999,8354.9,8137.4,8213.0,8330.2,9008.300000000001,7808.6,8749.699999999997,7995.900000000001,8023.299999999999,8433.599999999999,9100.3,8460.0,-738.0000000000018,789.7999999999993,663.7000000000062,600.699999999998,331.60000000000036,-296.1999999999989,-887.2999999999993,-129.79999999999927
237,A Marriner,1.44,1.28,1.7,1.65,2.1,3.9,2.25,3.1,4.2,6.0,4.0,3.6,3.5,3.8,3.3,3.3,8.0,10.0,4.75,5.75,3.5,1.85,3.25,2.3,8598.4,9413.400000000003,8596.599999999999,8354.9,8137.4,8213.0,8330.2,8035.599999999999,7808.6,8749.699999999997,7995.900000000001,8023.299999999999,8433.599999999999,9100.3,8460.0,8096.400000000001,789.7999999999993,663.7000000000062,600.699999999998,331.60000000000036,-296.1999999999989,-887.2999999999993,-129.79999999999927,-60.80000000000109
238,M Oliver,1.28,1.7,1.65,2.1,3.9,2.25,3.1,1.16,6.0,4.0,3.6,3.5,3.8,3.3,3.3,8.0,10.0,4.75,5.75,3.5,1.85,3.25,2.3,15.0,9413.400000000003,8596.599999999999,8354.9,8137.4,8213.0,8330.2,8035.599999999999,9388.0,8749.699999999997,7995.900000000001,8023.299999999999,8433.599999999999,9100.3,8460.0,8096.400000000001,8184.3,663.7000000000062,600.699999999998,331.60000000000036,-296.1999999999989,-887.2999999999993,-129.79999999999927,-60.80000000000109,1203.6999999999998
239,G Scott,1.7,1.65,2.1,3.9,2.25,3.1,1.16,4.6,4.0,3.6,3.5,3.8,3.3,3.3,8.0,3.8,4.75,5.75,3.5,1.85,3.25,2.3,15.0,1.75,8596.599999999999,8354.9,8137.4,8213.0,8330.2,8035.599999999999,9388.0,8070.9,7995.900000000001,8023.299999999999,8433.599999999999,9100.3,8460.0,8096.400000000001,8184.3,8799.399999999998,600.699999999998,331.60000000000036,-296.1999999999989,-887.2999999999993,-129.79999999999927,-60.80000000000109,1203.6999999999998,-728.4999999999982
240,M Atkinson,1.65,2.1,3.9,2.25,3.1,1.16,4.6,1.65,3.6,3.5,3.8,3.3,3.3,8.0,3.8,3.8,5.75,3.5,1.85,3.25,2.3,15.0,1.75,5.5,8354.9,8137.4,8213.0,8330.2,8035.599999999999,9388.0,8070.9,8684.1,8023.299999999999,8433.599999999999,9100.3,8460.0,8096.400000000001,8184.3,8799.399999999998,8327.799999999997,331.60000000000036,-296.1999999999989,-887.2999999999993,-129.79999999999927,-60.80000000000109,1203.6999999999998,-728.4999999999982,356.3000000000029
241,S Hooper,2.1,3.9,2.25,3.1,1.16,4.6,1.65,1.53,3.5,3.8,3.3,3.3,8.0,3.8,3.8,4.33,3.5,1.85,3.25,2.3,15.0,1.75,5.5,6.0,8137.4,8213.0,8330.2,8035.599999999999,9388.0,8070.9,8684.1,8219.3,8433.599999999999,9100.3,8460.0,8096.400000000001,8184.3,8799.399999999998,8327.799999999997,7864.200000000002,-296.1999999999989,-887.2999999999993,-129.79999999999927,-60.80000000000109,1203.6999999999998,-728.4999999999982,356.3000000000029,355.09999999999764
242,J Moss,3.9,2.25,3.1,1.16,4.6,1.65,1.53,1.9,3.8,3.3,3.3,8.0,3.8,3.8,4.33,3.6,1.85,3.25,2.3,15.0,1.75,5.5,6.0,4.0,8213.0,8330.2,8035.599999999999,9388.0,8070.9,8684.1,8219.3,8302.9,9100.3,8460.0,8096.400000000001,8184.3,8799.399999999998,8327.799999999997,7864.200000000002,8079.799999999999,-887.2999999999993,-129.79999999999927,-60.80000000000109,1203.6999999999998,-728.4999999999982,356.3000000000029,355.09999999999764,223.10000000000036
243,C Pawson,2.25,3.1,1.16,4.6,1.65,1.53,1.9,4.2,3.3,3.3,8.0,3.8,3.8,4.33,3.6,3.6,3.25,2.3,15.0,1.75,5.5,6.0,4.0,1.85,8330.2,8035.599999999999,9388.0,8070.9,8684.1,8219.3,8302.9,8276.6,8460.0,8096.400000000001,8184.3,8799.399999999998,8327.799999999997,7864.200000000002,8079.799999999999,8852.199999999997,-129.79999999999927,-60.80000000000109,1203.6999999999998,-728.4999999999982,356.3000000000029,355.09999999999764,223.10000000000036,-575.5999999999967
244,K Friend,3.1,1.16,4.6,1.65,1.53,1.9,4.2,1.3,3.3,8.0,3.8,3.8,4.33,3.6,3.6,5.5,2.3,15.0,1.75,5.5,6.0,4.0,1.85,9.5,8035.599999999999,9388.0,8070.9,8684.1,8219.3,8302.9,8276.6,9190.0,8096.400000000001,8184.3,8799.399999999998,8327.799999999997,7864.200000000002,8079.799999999999,8852.199999999997,8066.999999999999,-60.80000000000109,1203.6999999999998,-728.4999999999982,356.3000000000029,355.09999999999764,223.10000000000036,-575.5999999999967,1123.000000000001
245,M Dean,1.16,4.6,1.65,1.53,1.9,4.2,1.3,2.5,8.0,3.8,3.8,4.33,3.6,3.6,5.5,3.2,15.0,1.75,5.5,6.0,4.0,1.85,9.5,3.0,9388.0,8070.9,8684.1,8219.3,8302.9,8276.6,9190.0,7932.000000000001,8184.3,8799.399999999998,8327.799999999997,7864.200000000002,8079.799999999999,8852.199999999997,8066.999999999999,8052.500000000001,1203.6999999999998,-728.4999999999982,356.3000000000029,355.09999999999764,223.10000000000036,-575.5999999999967,1123.000000000001,-120.5
246,P Tierney,4.6,1.65,1.53,1.9,4.2,1.3,2.5,10.0,3.8,3.8,4.33,3.6,3.6,5.5,3.2,5.75,1.75,5.5,6.0,4.0,1.85,9.5,3.0,1.28,8070.9,8684.1,8219.3,8302.9,8276.6,9190.0,7932.000000000001,8517.800000000001,8799.399999999998,8327.799999999997,7864.200000000002,8079.799999999999,8852.199999999997,8066.999999999999,8052.500000000001,9466.700000000003,-728.4999999999982,356.3000000000029,355.09999999999764,223.10000000000036,-575.5999999999967,1123.000000000001,-120.5,-948.9000000000015
247,J Brooks,1.65,1.53,1.9,4.2,1.3,2.5,10.0,2.2,3.8,4.33,3.6,3.6,5.5,3.2,5.75,3.3,5.5,6.0,4.0,1.85,9.5,3.0,1.28,3.5,8684.1,8219.3,8302.9,8276.6,9190.0,7932.000000000001,8517.800000000001,8212.199999999997,8327.799999999997,7864.200000000002,8079.799999999999,8852.199999999997,8066.999999999999,8052.500000000001,9466.700000000003,8363.3,356.3000000000029,355.09999999999764,223.10000000000036,-575.5999999999967,1123.000000000001,-120.5,-948.9000000000015,-151.10000000000218
248,A Taylor,1.53,1.9,4.2,1.3,2.5,10.0,2.2,2.05,4.33,3.6,3.6,5.5,3.2,5.75,3.3,3.3,6.0,4.0,1.85,9.5,3.0,1.28,3.5,3.8,8219.3,8302.9,8276.6,9190.0,7932.000000000001,8517.800000000001,8212.199999999997,8648.999999999998,7864.200000000002,8079.799999999999,8852.199999999997,8066.999999999999,8052.500000000001,9466.700000000003,8363.3,8364.399999999998,355.09999999999764,223.10000000000036,-575.5999999999967,1123.000000000001,-120.5,-948.9000000000015,-151.10000000000218,284.60000000000036
249,C Kavanagh,1.9,4.2,1.3,2.5,10.0,2.2,2.05,2.9,3.6,3.6,5.5,3.2,5.75,3.3,3.3,3.4,4.0,1.85,9.5,3.0,1.28,3.5,3.8,2.4,8302.9,8276.6,9190.0,7932.000000000001,8517.800000000001,8212.199999999997,8648.999999999998,8129.299999999999,8079.799999999999,8852.199999999997,8066.999999999999,8052.500000000001,9466.700000000003,8363.3,8364.399999999998,8518.8,223.10000000000036,-575.5999999999967,1123.000000000001,-120.5,-948.9000000000015,-151.10000000000218,284.60000000000036,-389.5
250,A Madley,4.2,1.3,2.5,10.0,2.2,2.05,2.9,2.3,3.6,5.5,3.2,5.75,3.3,3.3,3.4,3.1,1.85,9.5,3.0,1.28,3.5,3.8,2.4,3.4,8276.6,9190.0,7932.000000000001,8517.800000000001,8212.199999999997,8648.999999999998,8129.299999999999,8382.900000000001,8852.199999999997,8066.999999999999,8052.500000000001,9466.700000000003,8363.3,8364.399999999998,8518.8,8149.8,-575.5999999999967,1123.000000000001,-120.5,-948.9000000000015,-151.10000000000218,284.60000000000036,-389.5,233.10000000000127
251,P Bankes,1.3,2.5,10.0,2.2,2.05,2.9,2.3,2.3,5.5,3.2,5.75,3.3,3.3,3.4,3.1,3.5,9.5,3.0,1.28,3.5,3.8,2.4,3.4,3.0,9190.0,7932.000000000001,8517.800000000001,8212.199999999997,8648.999999999998,8129.299999999999,8382.900000000001,8416.5,8066.999999999999,8052.500000000001,9466.700000000003,8363.3,8364.399999999998,8518.8,8149.8,8272.599999999999,1123.000000000001,-120.5,-948.9000000000015,-151.10000000000218,284.60000000000036,-389.5,233.10000000000127,143.90000000000146
252,A Marriner,2.5,10.0,2.2,2.05,2.9,2.3,2.3,6.5,3.2,5.75,3.3,3.3,3.4,3.1,3.5,4.33,3.0,1.28,3.5,3.8,2.4,3.4,3.0,1.5,7932.000000000001,8517.800000000001,8212.199999999997,8648.999999999998,8129.299999999999,8382.900000000001,8416.5,8171.799999999999,8052.500000000001,9466.700000000003,8363.3,8364.399999999998,8518.8,8149.8,8272.599999999999,9048.300000000001,-120.5,-948.9000000000015,-151.10000000000218,284.60000000000036,-389.5,233.10000000000127,143.90000000000146,-876.5000000000018
253,M Atkinson,10.0,2.2,2.05,2.9,2.3,2.3,6.5,2.75,5.75,3.3,3.3,3.4,3.1,3.5,4.33,3.2,1.28,3.5,3.8,2.4,3.4,3.0,1.5,2.62,8517.800000000001,8212.199999999997,8648.999999999998,8129.299999999999,8382.900000000001,8416.5,8171.799999999999,8232.9,9466.700000000003,8363.3,8364.399999999998,8518.8,8149.8,8272.599999999999,9048.300000000001,8256.800000000001,-948.9000000000015,-151.10000000000218,284.60000000000036,-389.5,233.10000000000127,143.90000000000146,-876.5000000000018,-23.900000000001455
254,D Coote,2.2,2.05,2.9,2.3,2.3,6.5,2.75,1.75,3.3,3.3,3.4,3.1,3.5,4.33,3.2,4.0,3.5,3.8,2.4,3.4,3.0,1.5,2.62,4.2,8212.199999999997,8648.999999999998,8129.299999999999,8382.900000000001,8416.5,8171.799999999999,8232.9,8677.600000000002,8363.3,8364.399999999998,8518.8,8149.8,8272.599999999999,9048.300000000001,8256.800000000001,8205.9,-151.10000000000218,284.60000000000036,-389.5,233.10000000000127,143.90000000000146,-876.5000000000018,-23.900000000001455,471.70000000000255
255,J Moss,2.05,2.9,2.3,2.3,6.5,2.75,1.75,1.28,3.3,3.4,3.1,3.5,4.33,3.2,4.0,5.75,3.8,2.4,3.4,3.0,1.5,2.62,4.2,9.5,8648.999999999998,8129.299999999999,8382.900000000001,8416.5,8171.799999999999,8232.9,8677.600000000002,9488.3,8364.399999999998,8518.8,8149.8,8272.599999999999,9048.300000000001,8256.800000000001,8205.9,8593.1,284.60000000000036,-389.5,233.10000000000127,143.90000000000146,-876.5000000000018,-23.900000000001455,471.70000000000255,895.1999999999989
256,A Taylor,2.9,2.3,2.3,6.5,2.75,1.75,1.28,2.9,3.4,3.1,3.5,4.33,3.2,4.0,5.75,3.1,2.4,3.4,3.0,1.5,2.62,4.2,9.5,2.5,8129.299999999999,8382.900000000001,8416.5,8171.799999999999,8232.9,8677.600000000002,9488.3,7962.7,8518.8,8149.8,8272.599999999999,9048.300000000001,8256.800000000001,8205.9,8593.1,7848.400000000001,-389.5,233.10000000000127,143.90000000000146,-876.5000000000018,-23.900000000001455,471.70000000000255,895.1999999999989,114.29999999999927
257,C Pawson,2.3,2.3,6.5,2.75,1.75,1.28,2.9,6.0,3.1,3.5,4.33,3.2,4.0,5.75,3.1,4.0,3.4,3.0,1.5,2.62,4.2,9.5,2.5,1.57,8382.900000000001,8416.5,8171.799999999999,8232.9,8677.600000000002,9488.3,7962.7,8072.099999999999,8149.8,8272.599999999999,9048.300000000001,8256.800000000001,8205.9,8593.1,7848.400000000001,8483.700000000003,233.10000000000127,143.90000000000146,-876.5000000000018,-23.900000000001455,471.70000000000255,895.1999999999989,114.29999999999927,-411.6000000000031
258,M Oliver,2.3,6.5,2.75,1.75,1.28,2.9,6.0,1.4,3.5,4.33,3.2,4.0,5.75,3.1,4.0,4.75,3.0,1.5,2.62,4.2,9.5,2.5,1.57,7.5,8416.5,8171.799999999999,8232.9,8677.600000000002,9488.3,7962.7,8072.099999999999,9486.800000000003,8272.599999999999,9048.300000000001,8256.800000000001,8205.9,8593.1,7848.400000000001,8483.700000000003,9176.4,143.90000000000146,-876.5000000000018,-23.900000000001455,471.70000000000255,895.1999999999989,114.29999999999927,-411.6000000000031,310.4000000000033
259,S Attwell,6.5,2.75,1.75,1.28,2.9,6.0,1.4,1.57,4.33,3.2,4.0,5.75,3.1,4.0,4.75,3.8,1.5,2.62,4.2,9.5,2.5,1.57,7.5,5.75,8171.799999999999,8232.9,8677.600000000002,9488.3,7962.7,8072.099999999999,9486.800000000003,8866.200000000003,9048.300000000001,8256.800000000001,8205.9,8593.1,7848.400000000001,8483.700000000003,9176.4,8466.399999999998,-876.5000000000018,-23.900000000001455,471.70000000000255,895.1999999999989,114.29999999999927,-411.6000000000031,310.4000000000033,399.80000000000473
260,M Atkinson,2.75,1.75,1.28,2.9,6.0,1.4,1.57,11.0,3.2,4.0,5.75,3.1,4.0,4.75,3.8,4.75,2.62,4.2,9.5,2.5,1.57,7.5,5.75,1.3,8232.9,8677.600000000002,9488.3,7962.7,8072.099999999999,9486.800000000003,8866.200000000003,8013.5,8256.800000000001,8205.9,8593.1,7848.400000000001,8483.700000000003,9176.4,8466.399999999998,9122.000000000002,-23.900000000001455,471.70000000000255,895.1999999999989,114.29999999999927,-411.6000000000031,310.4000000000033,399.80000000000473,-1108.5000000000018
261,K Friend,1.75,1.28,2.9,6.0,1.4,1.57,11.0,2.0,4.0,5.75,3.1,4.0,4.75,3.8,4.75,3.75,4.2,9.5,2.5,1.57,7.5,5.75,1.3,3.5,8677.600000000002,9488.3,7962.7,8072.099999999999,9486.800000000003,8866.200000000003,8013.5,8301.5,8205.9,8593.1,7848.400000000001,8483.700000000003,9176.4,8466.399999999998,9122.000000000002,8140.900000000001,471.70000000000255,895.1999999999989,114.29999999999927,-411.6000000000031,310.4000000000033,399.80000000000473,-1108.5000000000018,160.59999999999945
262,S Hooper,1.28,2.9,6.0,1.4,1.57,11.0,2.0,2.7,5.75,3.1,4.0,4.75,3.8,4.75,3.75,3.5,9.5,2.5,1.57,7.5,5.75,1.3,3.5,2.5,9488.3,7962.7,8072.099999999999,9486.800000000003,8866.200000000003,8013.5,8301.5,8329.5,8593.1,7848.400000000001,8483.700000000003,9176.4,8466.399999999998,9122.000000000002,8140.900000000001,8405.699999999999,895.1999999999989,114.29999999999927,-411.6000000000031,310.4000000000033,399.80000000000473,-1108.5000000000018,160.59999999999945,-76.19999999999891
263,D England,2.9,6.0,1.4,1.57,11.0,2.0,2.7,1.75,3.1,4.0,4.75,3.8,4.75,3.75,3.5,3.6,2.5,1.57,7.5,5.75,1.3,3.5,2.5,4.5,7962.7,8072.099999999999,9486.800000000003,8866.200000000003,8013.5,8301.5,8329.5,8435.2,7848.400000000001,8483.700000000003,9176.4,8466.399999999998,9122.000000000002,8140.900000000001,8405.699999999999,8103.499999999999,114.29999999999927,-411.6000000000031,310.4000000000033,399.80000000000473,-1108.5000000000018,160.59999999999945,-76.19999999999891,331.70000000000164
264,J Moss,6.0,1.4,1.57,11.0,2.0,2.7,1.75,2.2,4.0,4.75,3.8,4.75,3.75,3.5,3.6,3.4,1.57,7.5,5.75,1.3,3.5,2.5,4.5,3.25,8072.099999999999,9486.800000000003,8866.200000000003,8013.5,8301.5,8329.5,8435.2,9267.0,8483.700000000003,9176.4,8466.399999999998,9122.000000000002,8140.900000000001,8405.699999999999,8103.499999999999,8935.799999999997,-411.6000000000031,310.4000000000033,399.80000000000473,-1108.5000000000018,160.59999999999945,-76.19999999999891,331.70000000000164,331.20000000000255
265,M Dean,1.4,1.57,11.0,2.0,2.7,1.75,2.2,6.0,4.75,3.8,4.75,3.75,3.5,3.6,3.4,4.33,7.5,5.75,1.3,3.5,2.5,4.5,3.25,1.5,9486.800000000003,8866.200000000003,8013.5,8301.5,8329.5,8435.2,9267.0,8251.199999999997,9176.4,8466.399999999998,9122.000000000002,8140.900000000001,8405.699999999999,8103.499999999999,8935.799999999997,9342.799999999997,310.4000000000033,399.80000000000473,-1108.5000000000018,160.59999999999945,-76.19999999999891,331.70000000000164,331.20000000000255,-1091.6000000000004
266,P Tierney,1.57,11.0,2.0,2.7,1.75,2.2,6.0,2.15,3.8,4.75,3.75,3.5,3.6,3.4,4.33,3.2,5.75,1.3,3.5,2.5,4.5,3.25,1.5,3.6,8866.200000000003,8013.5,8301.5,8329.5,8435.2,9267.0,8251.199999999997,7966.300000000001,8466.399999999998,9122.000000000002,8140.900000000001,8405.699999999999,8103.499999999999,8935.799999999997,9342.799999999997,8103.199999999999,399.80000000000473,-1108.5000000000018,160.59999999999945,-76.19999999999891,331.70000000000164,331.20000000000255,-1091.6000000000004,-136.89999999999782
267,G Scott,11.0,2.0,2.7,1.75,2.2,6.0,2.15,1.6,4.75,3.75,3.5,3.6,3.4,4.33,3.2,4.2,1.3,3.5,2.5,4.5,3.25,1.5,3.6,5.25,8013.5,8301.5,8329.5,8435.2,9267.0,8251.199999999997,7966.300000000001,8363.1,9122.000000000002,8140.900000000001,8405.699999999999,8103.499999999999,8935.799999999997,9342.799999999997,8103.199999999999,8128.899999999999,-1108.5000000000018,160.59999999999945,-76.19999999999891,331.70000000000164,331.20000000000255,-1091.6000000000004,-136.89999999999782,234.20000000000164
268,S Attwell,2.0,2.7,1.75,2.2,6.0,2.15,1.6,1.55,3.75,3.5,3.6,3.4,4.33,3.2,4.2,4.2,3.5,2.5,4.5,3.25,1.5,3.6,5.25,5.75,8301.5,8329.5,8435.2,9267.0,8251.199999999997,7966.300000000001,8363.1,8355.5,8140.900000000001,8405.699999999999,8103.499999999999,8935.799999999997,9342.799999999997,8103.199999999999,8128.899999999999,7903.600000000001,160.59999999999945,-76.19999999999891,331.70000000000164,331.20000000000255,-1091.6000000000004,-136.89999999999782,234.20000000000164,451.8999999999987
269,M Oliver,2.7,1.75,2.2,6.0,2.15,1.6,1.55,2.3,3.5,3.6,3.4,4.33,3.2,4.2,4.2,3.2,2.5,4.5,3.25,1.5,3.6,5.25,5.75,3.3,8329.5,8435.2,9267.0,8251.199999999997,7966.300000000001,8363.1,8355.5,8550.1,8405.699999999999,8103.499999999999,8935.799999999997,9342.799999999997,8103.199999999999,8128.899999999999,7903.600000000001,8414.099999999999,-76.19999999999891,331.70000000000164,331.20000000000255,-1091.6000000000004,-136.89999999999782,234.20000000000164,451.8999999999987,136.00000000000182
270,A Taylor,1.75,2.2,6.0,2.15,1.6,1.55,2.3,1.5,3.6,3.4,4.33,3.2,4.2,4.2,3.2,4.5,4.5,3.25,1.5,3.6,5.25,5.75,3.3,6.0,8435.2,9267.0,8251.199999999997,7966.300000000001,8363.1,8355.5,8550.1,8763.4,8103.499999999999,8935.799999999997,9342.799999999997,8103.199999999999,8128.899999999999,7903.600000000001,8414.099999999999,8589.599999999999,331.70000000000164,331.20000000000255,-1091.6000000000004,-136.89999999999782,234.20000000000164,451.8999999999987,136.00000000000182,173.8000000000011
271,J Gillett,2.2,6.0,2.15,1.6,1.55,2.3,1.5,2.25,3.4,4.33,3.2,4.2,4.2,3.2,4.5,3.3,3.25,1.5,3.6,5.25,5.75,3.3,6.0,3.3,9267.0,8251.199999999997,7966.300000000001,8363.1,8355.5,8550.1,8763.4,8701.299999999997,8935.799999999997,9342.799999999997,8103.199999999999,8128.899999999999,7903.600000000001,8414.099999999999,8589.599999999999,8475.499999999998,331.20000000000255,-1091.6000000000004,-136.89999999999782,234.20000000000164,451.8999999999987,136.00000000000182,173.8000000000011,225.79999999999927
272,D Coote,6.0,2.15,1.6,1.55,2.3,1.5,2.25,1.3,4.33,3.2,4.2,4.2,3.2,4.5,3.3,5.25,1.5,3.6,5.25,5.75,3.3,6.0,3.3,11.0,8251.199999999997,7966.300000000001,8363.1,8355.5,8550.1,8763.4,8701.299999999997,9082.3,9342.799999999997,8103.199999999999,8128.899999999999,7903.600000000001,8414.099999999999,8589.599999999999,8475.499999999998,8191.000000000001,-1091.6000000000004,-136.89999999999782,234.20000000000164,451.8999999999987,136.00000000000182,173.8000000000011,225.79999999999927,891.2999999999984
273,M Atkinson,2.15,1.6,1.55,2.3,1.5,2.25,1.3,10.0,3.2,4.2,4.2,3.2,4.5,3.3,5.25,5.0,3.6,5.25,5.75,3.3,6.0,3.3,11.0,1.33,7966.300000000001,8363.1,8355.5,8550.1,8763.4,8701.299999999997,9082.3,8348.699999999999,8103.199999999999,8128.899999999999,7903.600000000001,8414.099999999999,8589.599999999999,8475.499999999998,8191.000000000001,9522.600000000002,-136.89999999999782,234.20000000000164,451.8999999999987,136.00000000000182,173.8000000000011,225.79999999999927,891.2999999999984,-1173.9000000000033
274,R Jones,1.6,1.55,2.3,1.5,2.25,1.3,10.0,3.3,4.2,4.2,3.2,4.5,3.3,5.25,5.0,3.3,5.25,5.75,3.3,6.0,3.3,11.0,1.33,2.25,8363.1,8355.5,8550.1,8763.4,8701.299999999997,9082.3,8348.699999999999,8287.299999999997,8128.899999999999,7903.600000000001,8414.099999999999,8589.599999999999,8475.499999999998,8191.000000000001,9522.600000000002,8981.699999999997,234.20000000000164,451.8999999999987,136.00000000000182,173.8000000000011,225.79999999999927,891.2999999999984,-1173.9000000000033,-694.3999999999996
275,A Marriner,1.55,2.3,1.5,2.25,1.3,10.0,3.3,3.5,4.2,3.2,4.5,3.3,5.25,5.0,3.3,4.0,5.75,3.3,6.0,3.3,11.0,1.33,2.25,1.9,8355.5,8550.1,8763.4,8701.299999999997,9082.3,8348.699999999999,8287.299999999997,8844.0,7903.600000000001,8414.099999999999,8589.599999999999,8475.499999999998,8191.000000000001,9522.600000000002,8981.699999999997,9407.499999999998,451.8999999999987,136.00000000000182,173.8000000000011,225.79999999999927,891.2999999999984,-1173.9000000000033,-694.3999999999996,-563.4999999999982
276,C Pawson,2.3,1.5,2.25,1.3,10.0,3.3,3.5,2.4,3.2,4.5,3.3,5.25,5.0,3.3,4.0,3.25,3.3,6.0,3.3,11.0,1.33,2.25,1.9,3.1,8550.1,8763.4,8701.299999999997,9082.3,8348.699999999999,8287.299999999997,8844.0,8579.300000000001,8414.099999999999,8589.599999999999,8475.499999999998,8191.000000000001,9522.600000000002,8981.699999999997,9407.499999999998,8213.400000000001,136.00000000000182,173.8000000000011,225.79999999999927,891.2999999999984,-1173.9000000000033,-694.3999999999996,-563.4999999999982,365.89999999999964
277,K Friend,1.5,2.25,1.3,10.0,3.3,3.5,2.4,2.1,4.5,3.3,5.25,5.0,3.3,4.0,3.25,3.5,6.0,3.3,11.0,1.33,2.25,1.9,3.1,3.4,8763.4,8701.299999999997,9082.3,8348.699999999999,8287.299999999997,8844.0,8579.300000000001,8487.7,8589.599999999999,8475.499999999998,8191.000000000001,9522.600000000002,8981.699999999997,9407.499999999998,8213.400000000001,8270.199999999999,173.8000000000011,225.79999999999927,891.2999999999984,-1173.9000000000033,-694.3999999999996,-563.4999999999982,365.89999999999964,217.50000000000182
278,A Madley,2.25,1.3,10.0,3.3,3.5,2.4,2.1,3.0,3.3,5.25,5.0,3.3,4.0,3.25,3.5,3.3,3.3,11.0,1.33,2.25,1.9,3.1,3.4,2.4,8701.299999999997,9082.3,8348.699999999999,8287.299999999997,8844.0,8579.300000000001,8487.7,8487.0,8475.499999999998,8191.000000000001,9522.600000000002,8981.699999999997,9407.499999999998,8213.400000000001,8270.199999999999,8551.300000000003,225.79999999999927,891.2999999999984,-1173.9000000000033,-694.3999999999996,-563.4999999999982,365.89999999999964,217.50000000000182,-64.30000000000291
279,D England,1.3,10.0,3.3,3.5,2.4,2.1,3.0,2.15,5.25,5.0,3.3,4.0,3.25,3.5,3.3,3.4,11.0,1.33,2.25,1.9,3.1,3.4,2.4,3.4,9082.3,8348.699999999999,8287.299999999997,8844.0,8579.300000000001,8487.7,8487.0,8723.800000000003,8191.000000000001,9522.600000000002,8981.699999999997,9407.499999999998,8213.400000000001,8270.199999999999,8551.300000000003,7903.500000000001,891.2999999999984,-1173.9000000000033,-694.3999999999996,-563.4999999999982,365.89999999999964,217.50000000000182,-64.30000000000291,820.300000000002
