,Referee,B365H lag 7 matches,B365H lag 6 matches,B365H lag 5 matches,B365H lag 4 matches,B365H lag 3 matches,B365H lag 2 matches,B365H lag 1 match,B365H most recent match,B365D lag 7 matches,B365D lag 6 matches,B365D lag 5 matches,B365D lag 4 matches,B365D lag 3 matches,B365D lag 2 matches,B365D lag 1 match,B365D most recent match,B365A lag 7 matches,B365A lag 6 matches,B365A lag 5 matches,B365A lag 4 matches,B365A lag 3 matches,B365A lag 2 matches,B365A lag 1 match,B365A most recent match,HICT lag 7 matches,HICT lag 6 matches,HICT lag 5 matches,HICT lag 4 matches,HICT lag 3 matches,HICT lag 2 matches,HICT lag 1 match,HICT most recent match,AICT lag 7 matches,AICT lag 6 matches,AICT lag 5 matches,AICT lag 4 matches,AICT lag 3 matches,AICT lag 2 matches,AICT lag 1 match,AICT most recent match,DifICT lag 7 matches,DifICT lag 6 matches,DifICT lag 5 matches,DifICT lag 4 matches,DifICT lag 3 matches,DifICT lag 2 matches,DifICT lag 1 match,DifICT most recent match
86,M Oliver,1.95,2.3,3.1,2.62,2.87,3.2,8.5,2.4,3.5,3.5,3.6,3.3,3.6,3.3,5.0,3.5,3.9,3.0,2.2,2.7,2.37,2.3,1.36,2.87,7779.7,8161.4,8694.9,7483.099999999999,8407.6,7667.5,7812.099999999999,8250.3,7762.0,8380.399999999998,8745.6,8171.6,8645.199999999999,7793.999999999999,8566.300000000001,8066.200000000001,17.699999999999818,-218.99999999999818,-50.70000000000073,-688.5000000000009,-237.59999999999854,-126.49999999999909,-754.2000000000016,184.09999999999854
87,M Dean,2.3,3.1,2.62,2.87,3.2,8.5,2.4,1.22,3.5,3.6,3.3,3.6,3.3,5.0,3.5,6.5,3.0,2.2,2.7,2.37,2.3,1.36,2.87,13.0,8161.4,8694.9,7483.099999999999,8407.6,7667.5,7812.099999999999,8250.3,8716.3,8380.399999999998,8745.6,8171.6,8645.199999999999,7793.999999999999,8566.300000000001,8066.200000000001,7786.600000000001,-218.99999999999818,-50.70000000000073,-688.5000000000009,-237.59999999999854,-126.49999999999909,-754.2000000000016,184.09999999999854,929.699999999998
88,J Moss,3.1,2.62,2.87,3.2,8.5,2.4,1.22,2.6,3.6,3.3,3.6,3.3,5.0,3.5,6.5,3.3,2.2,2.7,2.37,2.3,1.36,2.87,13.0,2.75,8694.9,7483.099999999999,8407.6,7667.5,7812.099999999999,8250.3,8716.3,7800.499999999999,8745.6,8171.6,8645.199999999999,7793.999999999999,8566.300000000001,8066.200000000001,7786.600000000001,7477.0,-50.70000000000073,-688.5000000000009,-237.59999999999854,-126.49999999999909,-754.2000000000016,184.09999999999854,929.699999999998,323.4999999999991
89,A Marriner,2.62,2.87,3.2,8.5,2.4,1.22,2.6,1.14,3.3,3.6,3.3,5.0,3.5,6.5,3.3,8.0,2.7,2.37,2.3,1.36,2.87,13.0,2.75,19.0,7483.099999999999,8407.6,7667.5,7812.099999999999,8250.3,8716.3,7800.499999999999,8813.7,8171.6,8645.199999999999,7793.999999999999,8566.300000000001,8066.200000000001,7786.600000000001,7477.0,7774.0,-688.5000000000009,-237.59999999999854,-126.49999999999909,-754.2000000000016,184.09999999999854,929.699999999998,323.4999999999991,1039.7000000000007
90,C Kavanagh,2.87,3.2,8.5,2.4,1.22,2.6,1.14,2.8,3.6,3.3,5.0,3.5,6.5,3.3,8.0,3.5,2.37,2.3,1.36,2.87,13.0,2.75,19.0,2.45,8407.6,7667.5,7812.099999999999,8250.3,8716.3,7800.499999999999,8813.7,7989.7,8645.199999999999,7793.999999999999,8566.300000000001,8066.200000000001,7786.600000000001,7477.0,7774.0,8155.8,-237.59999999999854,-126.49999999999909,-754.2000000000016,184.09999999999854,929.699999999998,323.4999999999991,1039.7000000000007,-166.10000000000036
91,A Taylor,3.2,8.5,2.4,1.22,2.6,1.14,2.8,3.4,3.3,5.0,3.5,6.5,3.3,8.0,3.5,3.5,2.3,1.36,2.87,13.0,2.75,19.0,2.45,2.1,7667.5,7812.099999999999,8250.3,8716.3,7800.499999999999,8813.7,7989.7,7590.9,7793.999999999999,8566.300000000001,8066.200000000001,7786.600000000001,7477.0,7774.0,8155.8,7777.099999999999,-126.49999999999909,-754.2000000000016,184.09999999999854,929.699999999998,323.4999999999991,1039.7000000000007,-166.10000000000036,-186.19999999999982
92,M Atkinson,8.5,2.4,1.22,2.6,1.14,2.8,3.4,2.2,5.0,3.5,6.5,3.3,8.0,3.5,3.5,3.2,1.36,2.87,13.0,2.75,19.0,2.45,2.1,3.5,7812.099999999999,8250.3,8716.3,7800.499999999999,8813.7,7989.7,7590.9,8011.099999999999,8566.300000000001,8066.200000000001,7786.600000000001,7477.0,7774.0,8155.8,7777.099999999999,8113.900000000001,-754.2000000000016,184.09999999999854,929.699999999998,323.4999999999991,1039.7000000000007,-166.10000000000036,-186.19999999999982,-102.80000000000109
93,A Madley,2.4,1.22,2.6,1.14,2.8,3.4,2.2,1.95,3.5,6.5,3.3,8.0,3.5,3.5,3.2,3.6,2.87,13.0,2.75,19.0,2.45,2.1,3.5,3.75,8250.3,8716.3,7800.499999999999,8813.7,7989.7,7590.9,8011.099999999999,7842.599999999999,8066.200000000001,7786.600000000001,7477.0,7774.0,8155.8,7777.099999999999,8113.900000000001,8036.1,184.09999999999854,929.699999999998,323.4999999999991,1039.7000000000007,-166.10000000000036,-186.19999999999982,-102.80000000000109,-193.5000000000009
94,A Marriner,1.22,2.6,1.14,2.8,3.4,2.2,1.95,1.25,6.5,3.3,8.0,3.5,3.5,3.2,3.6,6.0,13.0,2.75,19.0,2.45,2.1,3.5,3.75,12.0,8716.3,7800.499999999999,8813.7,7989.7,7590.9,8011.099999999999,7842.599999999999,8617.9,7786.600000000001,7477.0,7774.0,8155.8,7777.099999999999,8113.900000000001,8036.1,7804.7,929.699999999998,323.4999999999991,1039.7000000000007,-166.10000000000036,-186.19999999999982,-102.80000000000109,-193.5000000000009,813.1999999999998
95,D Coote,2.6,1.14,2.8,3.4,2.2,1.95,1.25,1.57,3.3,8.0,3.5,3.5,3.2,3.6,6.0,3.9,2.75,19.0,2.45,2.1,3.5,3.75,12.0,6.0,7800.499999999999,8813.7,7989.7,7590.9,8011.099999999999,7842.599999999999,8617.9,7866.999999999999,7477.0,7774.0,8155.8,7777.099999999999,8113.900000000001,8036.1,7804.7,7803.6,323.4999999999991,1039.7000000000007,-166.10000000000036,-186.19999999999982,-102.80000000000109,-193.5000000000009,813.1999999999998,63.39999999999873
