,Referee,B365H,B365D,B365A,HICT,AICT,DifICT,Result
436,D Coote,4.2,3.8,1.8,7683.1,8169.3,-486.1999999999998,0.0
437,P Tierney,1.95,3.5,4.2,8116.1,8079.400000000001,36.69999999999982,2.0
438,C Kavanagh,4.2,3.6,1.85,7761.3,8571.1,-809.8000000000002,0.0
439,A Taylor,2.05,3.75,3.3,8240.0,8269.4,-29.399999999999636,2.0
440,D England,3.0,3.4,2.37,7760.6,7935.2,-174.59999999999945,0.0
441,A Madley,1.33,5.25,8.5,8774.9,7756.5,1018.3999999999996,1.0
442,A Marriner,2.15,3.4,3.4,7658.599999999999,7950.3,-291.7000000000007,0.0
443,T Bramall,3.3,3.4,2.2,7501.7,7637.7,-136.0,1.0
444,S Attwell,2.35,3.4,3.0,7766.2,8024.7,-258.5,1.0
445,M Oliver,1.33,5.75,7.5,8751.2,8346.4,404.8000000000011,2.0
446,R Jones,1.75,4.0,4.33,8015.2,7700.4,314.8000000000002,2.0
447,S Hooper,1.4,4.5,8.0,8568.400000000001,8126.500000000001,441.90000000000055,2.0
448,J Brooks,1.83,3.8,4.2,8100.4,7685.4,415.0,2.0
449,A Madley,1.11,10.0,17.0,8855.900000000001,7661.900000000001,1194.000000000001,2.0
450,M Salisbury,3.6,3.4,2.05,7533.0,8109.099999999999,-576.0999999999995,2.0
451,T Harrington,2.8,3.4,2.5,7776.6,8303.1,-526.5,0.0
452,M Oliver,2.5,3.6,2.62,8323.8,8698.8,-375.0,2.0
453,P Tierney,2.05,3.5,3.6,7795.1,7765.2,29.900000000000546,2.0
454,C Kavanagh,1.72,3.8,4.75,8176.200000000001,7793.7,382.5000000000009,2.0
455,D Coote,3.6,3.5,2.05,8001.2,8402.0,-400.8000000000002,0.0
456,A Taylor,3.3,3.4,2.2,7796.1,8081.8,-285.6999999999998,1.0
